job,step,machine,start,end,precedence
Job1,1,Machine11,0,9,
Job1,2,Machine7,9,13,After Job1 Step 1
Job1,3,Machine1,13,17,After Job1 Step 2
Job1,4,Machine12,17,17,After Job1 Step 3
Job1,5,Machine8,17,35,After Job1 Step 4
Job1,6,Machine5,35,41,After Job1 Step 5
Job1,7,Machine9,41,46,After Job1 Step 6
Job1,8,Machine14,46,62,After Job1 Step 7
Job1,9,Machine16,62,66,After Job1 Step 8
Job1,10,Machine13,66,79,After Job1 Step 9
Job1,11,Machine3,79,97,After Job1 Step 10
Job1,12,Machine6,97,111,After Job1 Step 11
Job1,13,Machine17,111,116,After Job1 Step 12
Job1,14,Machine15,116,124,After Job1 Step 13
Job1,15,Machine10,124,134,After Job1 Step 14
Job1,16,Machine19,134,142,After Job1 Step 15
Job1,17,Machine18,142,154,After Job1 Step 16
Job1,18,Machine0,154,165,After Job1 Step 17
Job1,19,Machine4,165,176,After Job1 Step 18
Job1,20,Machine2,176,192,After Job1 Step 19
Job10,1,Machine2,1509,1525,
Job10,2,Machine10,1525,1530,After Job10 Step 1
Job10,3,Machine19,1530,1536,After Job10 Step 2
Job10,4,Machine17,1536,1537,After Job10 Step 3
Job10,5,Machine7,1537,1554,After Job10 Step 4
Job10,6,Machine1,1554,1562,After Job10 Step 5
Job10,7,Machine15,1562,1573,After Job10 Step 6
Job10,8,Machine11,1573,1584,After Job10 Step 7
Job10,9,Machine6,1584,1601,After Job10 Step 8
Job10,10,Machine16,1601,1608,After Job10 Step 9
Job10,11,Machine8,1608,1621,After Job10 Step 10
Job10,12,Machine5,1621,1635,After Job10 Step 11
Job10,13,Machine13,1635,1651,After Job10 Step 12
Job10,14,Machine18,1651,1659,After Job10 Step 13
Job10,15,Machine9,1659,1664,After Job10 Step 14
Job10,16,Machine3,1664,1667,After Job10 Step 15
Job10,17,Machine12,1667,1668,After Job10 Step 16
Job10,18,Machine4,1668,1675,After Job10 Step 17
Job10,19,Machine0,1675,1678,After Job10 Step 18
Job10,20,Machine14,1678,1679,After Job10 Step 19
Job11,1,Machine11,1584,1594,
Job11,2,Machine15,1594,1607,After Job11 Step 1
Job11,3,Machine4,1675,1693,After Job11 Step 2
Job11,4,Machine19,1693,1712,After Job11 Step 3
Job11,5,Machine0,1712,1728,After Job11 Step 4
Job11,6,Machine17,1728,1736,After Job11 Step 5
Job11,7,Machine16,1736,1738,After Job11 Step 6
Job11,8,Machine5,1738,1745,After Job11 Step 7
Job11,9,Machine14,1745,1748,After Job11 Step 8
Job11,10,Machine1,1748,1759,After Job11 Step 9
Job11,11,Machine10,1759,1774,After Job11 Step 10
Job11,12,Machine3,1774,1790,After Job11 Step 11
Job11,13,Machine12,1790,1801,After Job11 Step 12
Job11,14,Machine9,1801,1819,After Job11 Step 13
Job11,15,Machine18,1819,1824,After Job11 Step 14
Job11,16,Machine8,1824,1842,After Job11 Step 15
Job11,17,Machine6,1842,1845,After Job11 Step 16
Job11,18,Machine2,1845,1857,After Job11 Step 17
Job11,19,Machine13,1857,1873,After Job11 Step 18
Job11,20,Machine7,1873,1877,After Job11 Step 19
Job12,1,Machine17,1736,1751,
Job12,2,Machine6,1845,1849,After Job12 Step 1
Job12,3,Machine3,1849,1855,After Job12 Step 2
Job12,4,Machine8,1855,1870,After Job12 Step 3
Job12,5,Machine12,1870,1871,After Job12 Step 4
Job12,6,Machine11,1871,1888,After Job12 Step 5
Job12,7,Machine0,1888,1906,After Job12 Step 6
Job12,8,Machine18,1906,1908,After Job12 Step 7
Job12,9,Machine5,1908,1919,After Job12 Step 8
Job12,10,Machine1,1919,1929,After Job12 Step 9
Job12,11,Machine15,1929,1943,After Job12 Step 10
Job12,12,Machine16,1943,1951,After Job12 Step 11
Job12,13,Machine13,1951,1966,After Job12 Step 12
Job12,14,Machine7,1966,1982,After Job12 Step 13
Job12,15,Machine14,1982,1996,After Job12 Step 14
Job12,16,Machine2,1996,2007,After Job12 Step 15
Job12,17,Machine10,2007,2016,After Job12 Step 16
Job12,18,Machine4,2016,2023,After Job12 Step 17
Job12,19,Machine19,2023,2039,After Job12 Step 18
Job12,20,Machine9,2039,2057,After Job12 Step 19
Job13,1,Machine7,1982,1994,
Job13,2,Machine6,1994,2010,After Job13 Step 1
Job13,3,Machine14,2010,2021,After Job13 Step 2
Job13,4,Machine3,2021,2038,After Job13 Step 3
Job13,5,Machine8,2038,2040,After Job13 Step 4
Job13,6,Machine9,2057,2066,After Job13 Step 5
Job13,7,Machine1,2066,2077,After Job13 Step 6
Job13,8,Machine2,2077,2077,After Job13 Step 7
Job13,9,Machine4,2077,2089,After Job13 Step 8
Job13,10,Machine10,2089,2092,After Job13 Step 9
Job13,11,Machine11,2092,2102,After Job13 Step 10
Job13,12,Machine12,2102,2116,After Job13 Step 11
Job13,13,Machine16,2116,2126,After Job13 Step 12
Job13,14,Machine5,2126,2134,After Job13 Step 13
Job13,15,Machine13,2134,2141,After Job13 Step 14
Job13,16,Machine0,2141,2143,After Job13 Step 15
Job13,17,Machine15,2143,2147,After Job13 Step 16
Job13,18,Machine19,2147,2149,After Job13 Step 17
Job13,19,Machine18,2149,2151,After Job13 Step 18
Job13,20,Machine17,2151,2155,After Job13 Step 19
Job14,1,Machine7,1994,1995,
Job14,2,Machine10,2092,2099,After Job14 Step 1
Job14,3,Machine6,2099,2115,After Job14 Step 2
Job14,4,Machine8,2115,2122,After Job14 Step 3
Job14,5,Machine18,2151,2153,After Job14 Step 4
Job14,6,Machine2,2153,2155,After Job14 Step 5
Job14,7,Machine4,2155,2171,After Job14 Step 6
Job14,8,Machine19,2171,2177,After Job14 Step 7
Job14,9,Machine16,2177,2179,After Job14 Step 8
Job14,10,Machine9,2179,2192,After Job14 Step 9
Job14,11,Machine0,2192,2199,After Job14 Step 10
Job14,12,Machine12,2199,2210,After Job14 Step 11
Job14,13,Machine5,2210,2225,After Job14 Step 12
Job14,14,Machine1,2225,2240,After Job14 Step 13
Job14,15,Machine14,2240,2244,After Job14 Step 14
Job14,16,Machine17,2244,2247,After Job14 Step 15
Job14,17,Machine13,2247,2250,After Job14 Step 16
Job14,18,Machine11,2250,2250,After Job14 Step 17
Job14,19,Machine3,2250,2261,After Job14 Step 18
Job14,20,Machine15,2261,2275,After Job14 Step 19
Job15,1,Machine6,2115,2121,
Job15,2,Machine14,2244,2260,After Job15 Step 1
Job15,3,Machine17,2260,2275,After Job15 Step 2
Job15,4,Machine13,2275,2284,After Job15 Step 3
Job15,5,Machine18,2284,2290,After Job15 Step 4
