job,step,machine,start,end
Job1,Step 1,Machine3,0,2
Job1,Step 2,Machine2,2,6
Job1,Step 3,Machine1,6,11
Job1,Step 4,Machine4,11,13
Job1,Step 5,Machine0,13,17
Job1,Step 6,Machine8,17,22
Job1,Step 7,Machine9,22,28
Job1,Step 8,Machine5,28,36
Job1,Step 9,Machine7,36,46
Job1,Step 10,Machine6,48,61
Job2,Step 1,Machine2,61,70
Job2,Step 2,Machine0,70,74
Job2,Step 3,Machine4,74,75
Job2,Step 4,Machine3,75,75
Job2,Step 5,Machine1,75,84
Job2,Step 6,Machine7,84,93
Job2,Step 7,Machine5,93,93
Job2,Step 8,Machine9,95,106
Job2,Step 9,Machine6,107,111
Job2,Step 10,Machine8,111,112
Job3,Step 1,Machine4,112,122
Job3,Step 2,Machine3,123,134
Job3,Step 3,Machine0,135,146
Job3,Step 4,Machine2,147,154
Job3,Step 5,Machine1,155,162
Job3,Step 6,Machine8,163,174
Job3,Step 7,Machine6,176,186
Job3,Step 8,Machine7,186,197
Job3,Step 9,Machine5,198,206
Job3,Step 10,Machine9,207,217
Job4,Step 1,Machine2,217,227
Job4,Step 2,Machine3,228,230
Job4,Step 3,Machine1,230,233
Job4,Step 4,Machine0,233,236
Job4,Step 5,Machine4,236,240
Job4,Step 6,Machine8,241,247
Job4,Step 7,Machine7,249,261
Job4,Step 8,Machine6,261,272
Job4,Step 9,Machine5,273,280
Job4,Step 10,Machine9,281,290
Job5,Step 1,Machine4,290,300
Job5,Step 2,Machine3,301,313
Job5,Step 3,Machine1,315,324
Job5,Step 4,Machine0,325,330
Job5,Step 5,Machine2,331,344
Job5,Step 6,Machine9,344,358
Job5,Step 7,Machine5,358,364
Job5,Step 8,Machine8,364,367
Job5,Step 9,Machine7,367,368
Job5,Step 10,Machine6,368,379
Job6,Step 1,Machine1,379,387
Job6,Step 2,Machine0,388,395
Job6,Step 3,Machine2,395,397
Job6,Step 4,Machine3,398,406
Job6,Step 5,Machine4,406,407
Job6,Step 6,Machine9,408,418
Job6,Step 7,Machine5,419,427
Job6,Step 8,Machine8,427,432
Job6,Step 9,Machine6,432,443
Job6,Step 10,Machine7,443,449
Job7,Step 1,Machine0,449,461
Job7,Step 2,Machine1,462,472
Job7,Step 3,Machine4,473,479
Job7,Step 4,Machine3,480,491
Job7,Step 5,Machine2,491,496
Job7,Step 6,Machine7,498,507
Job7,Step 7,Machine8,507,510
Job7,Step 8,Machine6,510,515
Job7,Step 9,Machine9,517,528
Job7,Step 10,Machine5,528,534
Job8,Step 1,Machine4,534,543
Job8,Step 2,Machine2,544,547
Job8,Step 3,Machine0,548,558
Job8,Step 4,Machine3,560,568
Job8,Step 5,Machine1,569,578
Job8,Step 6,Machine5,578,582
Job8,Step 7,Machine8,582,585
Job8,Step 8,Machine6,586,595
Job8,Step 9,Machine9,596,601
Job8,Step 10,Machine7,602,605
Job9,Step 1,Machine3,605,608
Job9,Step 2,Machine0,609,620
Job9,Step 3,Machine1,620,628
Job9,Step 4,Machine4,628,629
Job9,Step 5,Machine2,629,630
Job9,Step 6,Machine5,630,631
Job9,Step 7,Machine6,631,633
Job9,Step 8,Machine7,633,635
Job9,Step 9,Machine8,636,641
Job9,Step 10,Machine9,642,650
Job10,Step 1,Machine3,650,651
Job10,Step 2,Machine0,651,653
Job10,Step 3,Machine1,653,653
Job10,Step 4,Machine4,653,659
Job10,Step 5,Machine2,659,659
Job10,Step 6,Machine7,660,665
Job10,Step 7,Machine8,666,674
Job10,Step 8,Machine5,674,681
Job10,Step 9,Machine9,682,695
Job10,Step 10,Machine6,695,697
Job11,Step 1,Machine4,697,705
Job11,Step 2,Machine1,706,714
Job11,Step 3,Machine3,715,724
Job11,Step 4,Machine2,724,725
Job11,Step 5,Machine0,725,731
Job11,Step 6,Machine5,731,731
Job11,Step 7,Machine7,731,740
Job11,Step 8,Machine6,740,751
Job11,Step 9,Machine9,751,754
Job11,Step 10,Machine8,754,762
Job12,Step 1,Machine2,762,771
Job12,Step 2,Machine1,772,782
Job12,Step 3,Machine3,782,786
Job12,Step 4,Machine4,786,796
Job12,Step 5,Machine0,798,808
Job12,Step 6,Machine7,810,820
Job12,Step 7,Machine6,820,825
Job12,Step 8,Machine9,825,828
Job12,Step 9,Machine8,828,831
Job12,Step 10,Machine5,831,838
Job13,Step 1,Machine1,838,839
Job13,Step 2,Machine3,840,852
Job13,Step 3,Machine4,852,853
Job13,Step 4,Machine0,854,863
Job13,Step 5,Machine2,864,874
Job13,Step 6,Machine7,875,876
Job13,Step 7,Machine5,877,879
Job13,Step 8,Machine9,879,891
Job13,Step 9,Machine6,892,902
Job13,Step 10,Machine8,903,909
Job14,Step 1,Machine0,909,920
Job14,Step 2,Machine3,922,934
Job14,Step 3,Machine1,934,937
Job14,Step 4,Machine2,937,944
Job14,Step 5,Machine4,945,957
Job14,Step 6,Machine7,960,971
Job14,Step 7,Machine5,972,976
Job14,Step 8,Machine6,977,987
Job14,Step 9,Machine8,987,991
Job14,Step 10,Machine9,991,1003
Job15,Step 1,Machine4,1003,1011
Job15,Step 2,Machine0,1011,1019
Job15,Step 3,Machine3,1019,1028
Job15,Step 4,Machine2,1028,1031
Job15,Step 5,Machine1,1032,1037
Job15,Step 6,Machine7,1037,1041
Job15,Step 7,Machine6,1042,1047
Job15,Step 8,Machine5,1049,1062
Job15,Step 9,Machine8,1063,1074
Job15,Step 10,Machine9,1075,1080
Job16,Step 1,Machine1,1080,1090
Job16,Step 2,Machine2,1091,1097
Job16,Step 3,Machine3,1098,1107
Job16,Step 4,Machine0,1107,1108
Job16,Step 5,Machine4,1109,1119
Job16,Step 6,Machine7,1119,1130
Job16,Step 7,Machine6,1130,1130
Job16,Step 8,Machine9,1130,1133
Job16,Step 9,Machine8,1134,1141
Job16,Step 10,Machine5,1142,1148
Job17,Step 1,Machine0,1148,1160
Job17,Step 2,Machine4,1160,1164
Job17,Step 3,Machine2,1164,1165
Job17,Step 4,Machine1,1165,1168
Job17,Step 5,Machine3,1168,1181
Job17,Step 6,Machine8,1181,1182
Job17,Step 7,Machine7,1182,1190
Job17,Step 8,Machine5,1191,1202
Job17,Step 9,Machine9,1203,1214
Job17,Step 10,Machine6,1215,1224
Job18,Step 1,Machine2,1224,1235
Job18,Step 2,Machine1,1236,1240
Job18,Step 3,Machine0,1242,1254
Job18,Step 4,Machine4,1256,1269
Job18,Step 5,Machine3,1269,1270
Job18,Step 6,Machine5,1271,1274
Job18,Step 7,Machine9,1274,1275
Job18,Step 8,Machine6,1276,1284
Job18,Step 9,Machine8,1284,1291
Job18,Step 10,Machine7,1292,1305
Job19,Step 1,Machine1,1305,1309
Job19,Step 2,Machine0,1310,1320
Job19,Step 3,Machine4,1320,1322
Job19,Step 4,Machine2,1323,1327
Job19,Step 5,Machine3,1327,1327
Job19,Step 6,Machine5,1327,1339
Job19,Step 7,Machine7,1339,1340
Job19,Step 8,Machine9,1340,1345
Job19,Step 9,Machine6,1346,1353
Job19,Step 10,Machine8,1354,1361
Job20,Step 1,Machine1,1361,1366
Job20,Step 2,Machine2,1366,1368
Job20,Step 3,Machine3,1368,1372
Job20,Step 4,Machine0,1372,1375
Job20,Step 5,Machine4,1376,1379
Job20,Step 6,Machine7,1379,1381
Job20,Step 7,Machine5,1381,1382
Job20,Step 8,Machine9,1382,1394
Job20,Step 9,Machine8,1394,1405
Job20,Step 10,Machine6,1405,1406
