job,step,machine,start,end
Job1,Step 1,Machine4,0,7
Job1,Step 2,Machine1,8,12
Job1,Step 3,Machine2,12,21
Job1,Step 4,Machine0,21,29
Job1,Step 5,Machine3,30,38
Job1,Step 6,Machine5,39,48
Job1,Step 7,Machine7,49,53
Job1,Step 8,Machine6,54,63
Job1,Step 9,Machine8,64,72
Job1,Step 10,Machine9,73,79
Job2,Step 1,Machine2,79,80
Job2,Step 2,Machine3,81,86
Job2,Step 3,Machine0,86,88
Job2,Step 4,Machine4,88,96
Job2,Step 5,Machine1,97,100
Job2,Step 6,Machine7,100,106
Job2,Step 7,Machine6,108,118
Job2,Step 8,Machine8,118,120
Job2,Step 9,Machine9,120,123
Job2,Step 10,Machine5,123,129
Job3,Step 1,Machine4,129,131
Job3,Step 2,Machine1,133,141
Job3,Step 3,Machine0,141,148
Job3,Step 4,Machine3,149,151
Job3,Step 5,Machine2,151,153
Job3,Step 6,Machine8,153,156
Job3,Step 7,Machine6,158,169
Job3,Step 8,Machine9,170,179
Job3,Step 9,Machine7,180,187
Job3,Step 10,Machine5,187,188
Job4,Step 1,Machine3,188,196
Job4,Step 2,Machine0,197,200
Job4,Step 3,Machine2,200,203
Job4,Step 4,Machine1,203,208
Job4,Step 5,Machine4,209,216
Job4,Step 6,Machine8,216,217
Job4,Step 7,Machine9,217,218
Job4,Step 8,Machine5,220,230
Job4,Step 9,Machine7,231,242
Job4,Step 10,Machine6,242,253
Job5,Step 1,Machine2,253,263
Job5,Step 2,Machine4,264,269
Job5,Step 3,Machine3,270,274
Job5,Step 4,Machine1,274,277
Job5,Step 5,Machine0,277,281
Job5,Step 6,Machine6,282,289
Job5,Step 7,Machine8,289,300
Job5,Step 8,Machine9,300,307
Job5,Step 9,Machine7,308,318
Job5,Step 10,Machine5,318,325
Job6,Step 1,Machine4,325,335
Job6,Step 2,Machine0,335,341
Job6,Step 3,Machine3,343,350
Job6,Step 4,Machine1,351,359
Job6,Step 5,Machine2,360,370
Job6,Step 6,Machine7,371,382
Job6,Step 7,Machine5,383,389
Job6,Step 8,Machine8,389,396
Job6,Step 9,Machine9,397,406
Job6,Step 10,Machine6,406,409
Job7,Step 1,Machine1,409,412
Job7,Step 2,Machine4,412,413
Job7,Step 3,Machine0,415,425
Job7,Step 4,Machine3,425,428
Job7,Step 5,Machine2,428,432
Job7,Step 6,Machine8,433,441
Job7,Step 7,Machine7,441,442
Job7,Step 8,Machine5,443,452
Job7,Step 9,Machine6,453,464
Job7,Step 10,Machine9,465,473
Job8,Step 1,Machine3,473,475
Job8,Step 2,Machine1,475,479
Job8,Step 3,Machine0,479,481
Job8,Step 4,Machine4,481,482
Job8,Step 5,Machine2,483,491
Job8,Step 6,Machine6,492,497
Job8,Step 7,Machine8,497,506
Job8,Step 8,Machine9,506,506
Job8,Step 9,Machine7,506,510
Job8,Step 10,Machine5,510,514
Job9,Step 1,Machine2,514,517
Job9,Step 2,Machine0,519,527
Job9,Step 3,Machine3,528,539
Job9,Step 4,Machine4,540,548
Job9,Step 5,Machine1,548,550
Job9,Step 6,Machine9,550,560
Job9,Step 7,Machine6,562,572
Job9,Step 8,Machine8,573,580
Job9,Step 9,Machine5,580,590
Job9,Step 10,Machine7,590,595
Job10,Step 1,Machine2,595,597
Job10,Step 2,Machine1,597,606
Job10,Step 3,Machine0,607,615
Job10,Step 4,Machine3,616,624
Job10,Step 5,Machine4,624,629
Job10,Step 6,Machine7,630,639
Job10,Step 7,Machine5,640,652
Job10,Step 8,Machine9,652,653
