job,step,machine,start,end
Job1,Step 1,Machine5,0,0
Job1,Step 2,Machine3,1,8
Job1,Step 3,Machine0,8,15
Job1,Step 4,Machine2,16,20
Job1,Step 5,Machine6,20,20
Job1,Step 6,Machine4,21,27
Job1,Step 7,Machine1,27,35
Job1,Step 8,Machine9,36,44
Job1,Step 9,Machine8,45,51
Job1,Step 10,Machine13,52,60
Job1,Step 11,Machine11,60,62
Job1,Step 12,Machine10,63,71
Job1,Step 13,Machine12,72,77
Job1,Step 14,Machine14,78,83
Job1,Step 15,Machine7,84,89
Job2,Step 1,Machine3,89,92
Job2,Step 2,Machine4,92,95
Job2,Step 3,Machine2,96,103
Job2,Step 4,Machine0,103,103
Job2,Step 5,Machine5,104,110
Job2,Step 6,Machine1,111,120
Job2,Step 7,Machine6,121,130
Job2,Step 8,Machine14,130,132
Job2,Step 9,Machine11,134,143
Job2,Step 10,Machine9,144,147
Job2,Step 11,Machine10,147,147
Job2,Step 12,Machine13,148,156
Job2,Step 13,Machine7,156,157
Job2,Step 14,Machine8,157,163
Job2,Step 15,Machine12,164,170
Job3,Step 1,Machine1,170,175
Job3,Step 2,Machine2,175,178
Job3,Step 3,Machine0,179,181
Job3,Step 4,Machine6,181,183
Job3,Step 5,Machine3,184,188
Job3,Step 6,Machine4,189,197
Job3,Step 7,Machine5,197,198
Job3,Step 8,Machine14,199,206
Job3,Step 9,Machine11,206,210
Job3,Step 10,Machine9,210,212
Job3,Step 11,Machine10,213,220
Job3,Step 12,Machine13,220,228
Job3,Step 13,Machine8,228,234
Job3,Step 14,Machine12,235,242
Job3,Step 15,Machine7,242,243
Job4,Step 1,Machine2,243,248
Job4,Step 2,Machine4,248,250
Job4,Step 3,Machine3,250,252
Job4,Step 4,Machine0,253,258
Job4,Step 5,Machine1,258,268
Job4,Step 6,Machine5,270,278
Job4,Step 7,Machine6,278,288
Job4,Step 8,Machine14,288,288
Job4,Step 9,Machine12,288,293
Job4,Step 10,Machine10,293,301
Job4,Step 11,Machine9,302,310
Job4,Step 12,Machine8,311,317
Job4,Step 13,Machine7,318,326
Job4,Step 14,Machine13,326,335
Job4,Step 15,Machine11,336,346
Job5,Step 1,Machine2,346,348
Job5,Step 2,Machine0,349,355
Job5,Step 3,Machine3,355,360
Job5,Step 4,Machine4,360,364
Job5,Step 5,Machine6,364,369
Job5,Step 6,Machine5,369,371
Job5,Step 7,Machine1,371,372
Job5,Step 8,Machine11,372,373
Job5,Step 9,Machine8,373,380
Job5,Step 10,Machine14,381,389
Job5,Step 11,Machine13,389,391
Job5,Step 12,Machine12,391,393
Job5,Step 13,Machine9,393,397
Job5,Step 14,Machine7,397,404
Job5,Step 15,Machine10,404,414
Job6,Step 1,Machine4,414,419
Job6,Step 2,Machine5,419,424
Job6,Step 3,Machine2,425,432
Job6,Step 4,Machine0,433,442
Job6,Step 5,Machine6,442,442
Job6,Step 6,Machine3,443,449
Job6,Step 7,Machine1,449,451
Job6,Step 8,Machine9,452,461
Job6,Step 9,Machine8,462,468
Job6,Step 10,Machine10,468,470
Job6,Step 11,Machine7,470,474
Job6,Step 12,Machine14,474,474
Job6,Step 13,Machine12,474,483
Job6,Step 14,Machine13,484,490
Job6,Step 15,Machine11,490,491
Job7,Step 1,Machine3,491,494
Job7,Step 2,Machine0,494,497
Job7,Step 3,Machine6,497,502
Job7,Step 4,Machine5,502,511
Job7,Step 5,Machine2,511,516
Job7,Step 6,Machine1,516,520
Job7,Step 7,Machine4,521,530
Job7,Step 8,Machine8,530,533
Job7,Step 9,Machine10,534,543
Job7,Step 10,Machine9,544,551
Job7,Step 11,Machine14,552,560
Job7,Step 12,Machine13,560,566
Job7,Step 13,Machine12,567,577
Job7,Step 14,Machine7,577,583
Job7,Step 15,Machine11,583,585
Job8,Step 1,Machine4,585,588
Job8,Step 2,Machine3,589,595
Job8,Step 3,Machine0,596,606
Job8,Step 4,Machine5,607,614
Job8,Step 5,Machine2,615,619
Job8,Step 6,Machine1,620,630
Job8,Step 7,Machine6,631,641
