job,step,machine,start,end
Job1,Step 1,Machine1,0,1
Job1,Step 2,Machine6,2,7
Job1,Step 3,Machine2,8,10
Job1,Step 4,Machine4,10,12
Job1,Step 5,Machine5,12,18
Job1,Step 6,Machine3,18,19
Job1,Step 7,Machine0,19,25
Job1,Step 8,Machine10,25,32
Job1,Step 9,Machine8,32,42
Job1,Step 10,Machine12,42,46
Job1,Step 11,Machine7,46,50
Job1,Step 12,Machine13,50,53
Job1,Step 13,Machine14,53,55
Job1,Step 14,Machine9,56,60
Job1,Step 15,Machine11,61,70
Job2,Step 1,Machine2,70,79
Job2,Step 2,Machine1,79,89
Job2,Step 3,Machine0,89,98
Job2,Step 4,Machine3,98,99
Job2,Step 5,Machine6,100,105
Job2,Step 6,Machine4,106,110
Job2,Step 7,Machine5,110,115
Job2,Step 8,Machine7,115,125
Job2,Step 9,Machine13,126,129
Job2,Step 10,Machine14,131,139
Job2,Step 11,Machine9,139,139
Job2,Step 12,Machine11,139,150
Job2,Step 13,Machine12,150,159
Job2,Step 14,Machine10,160,166
Job2,Step 15,Machine8,166,168
Job3,Step 1,Machine1,168,170
Job3,Step 2,Machine6,171,181
Job3,Step 3,Machine3,181,185
Job3,Step 4,Machine4,185,193
Job3,Step 5,Machine5,193,194
Job3,Step 6,Machine0,194,200
Job3,Step 7,Machine2,201,205
Job3,Step 8,Machine12,205,210
Job3,Step 9,Machine14,211,214
Job3,Step 10,Machine10,214,214
Job3,Step 11,Machine11,214,217
Job3,Step 12,Machine13,218,224
Job3,Step 13,Machine9,225,233
Job3,Step 14,Machine7,233,233
Job3,Step 15,Machine8,233,238
Job4,Step 1,Machine3,238,241
Job4,Step 2,Machine2,242,245
Job4,Step 3,Machine5,246,252
Job4,Step 4,Machine0,252,255
Job4,Step 5,Machine6,256,263
Job4,Step 6,Machine1,264,274
Job4,Step 7,Machine4,275,282
Job4,Step 8,Machine14,283,285
Job4,Step 9,Machine12,285,289
Job4,Step 10,Machine8,289,292
Job4,Step 11,Machine11,292,300
Job4,Step 12,Machine13,300,305
Job4,Step 13,Machine10,305,312
Job4,Step 14,Machine9,312,312
Job4,Step 15,Machine7,312,315
Job5,Step 1,Machine3,315,321
Job5,Step 2,Machine0,322,327
Job5,Step 3,Machine1,327,329
Job5,Step 4,Machine5,330,339
Job5,Step 5,Machine2,339,341
Job5,Step 6,Machine6,343,351
Job5,Step 7,Machine4,351,360
Job5,Step 8,Machine11,361,361
Job5,Step 9,Machine14,362,368
Job5,Step 10,Machine10,368,378
Job5,Step 11,Machine9,378,383
Job5,Step 12,Machine12,383,390
Job5,Step 13,Machine8,390,391
Job5,Step 14,Machine13,391,391
Job5,Step 15,Machine7,392,398
Job6,Step 1,Machine4,398,399
Job6,Step 2,Machine2,399,408
Job6,Step 3,Machine1,408,409
Job6,Step 4,Machine3,410,418
Job6,Step 5,Machine0,420,427
Job6,Step 6,Machine5,427,428
Job6,Step 7,Machine6,429,434
Job6,Step 8,Machine9,434,438
Job6,Step 9,Machine11,438,440
Job6,Step 10,Machine7,440,449
Job6,Step 11,Machine12,450,457
Job6,Step 12,Machine14,457,458
Job6,Step 13,Machine13,459,465
Job6,Step 14,Machine10,466,476
Job6,Step 15,Machine8,476,481
Job7,Step 1,Machine6,481,491
Job7,Step 2,Machine2,492,497
Job7,Step 3,Machine3,498,503
Job7,Step 4,Machine1,503,507
Job7,Step 5,Machine5,507,510
Job7,Step 6,Machine4,510,518
