job,step,machine,start,end
Job1,Step 1,Machine3,0,0
Job1,Step 2,Machine4,1,8
Job1,Step 3,Machine2,9,14
Job1,Step 4,Machine5,14,17
Job1,Step 5,Machine6,17,25
Job1,Step 6,Machine1,26,33
Job1,Step 7,Machine0,33,35
Job1,Step 8,Machine12,36,43
Job1,Step 9,Machine8,44,52
Job1,Step 10,Machine10,52,57
Job1,Step 11,Machine11,57,57
Job1,Step 12,Machine14,57,63
Job1,Step 13,Machine9,63,66
Job1,Step 14,Machine7,67,74
Job1,Step 15,Machine13,75,82
Job2,Step 1,Machine3,82,86
Job2,Step 2,Machine2,86,89
Job2,Step 3,Machine5,89,90
Job2,Step 4,Machine1,91,98
Job2,Step 5,Machine4,98,103
Job2,Step 6,Machine6,103,105
Job2,Step 7,Machine0,106,110
Job2,Step 8,Machine8,110,113
Job2,Step 9,Machine12,113,114
Job2,Step 10,Machine14,115,120
Job2,Step 11,Machine10,120,127
Job2,Step 12,Machine7,128,136
Job2,Step 13,Machine9,136,144
Job2,Step 14,Machine13,145,154
Job2,Step 15,Machine11,155,162
Job3,Step 1,Machine0,162,163
Job3,Step 2,Machine6,163,165
Job3,Step 3,Machine3,165,170
Job3,Step 4,Machine4,171,180
Job3,Step 5,Machine5,180,181
Job3,Step 6,Machine2,181,190
Job3,Step 7,Machine1,190,197
Job3,Step 8,Machine7,198,203
Job3,Step 9,Machine14,203,209
Job3,Step 10,Machine11,209,209
Job3,Step 11,Machine10,210,217
Job3,Step 12,Machine13,218,223
Job3,Step 13,Machine9,223,225
Job3,Step 14,Machine8,227,236
Job3,Step 15,Machine12,238,248
Job4,Step 1,Machine2,248,252
Job4,Step 2,Machine0,252,260
Job4,Step 3,Machine1,261,270
Job4,Step 4,Machine4,270,276
Job4,Step 5,Machine5,276,279
Job4,Step 6,Machine3,279,279
Job4,Step 7,Machine6,280,289
Job4,Step 8,Machine13,290,295
Job4,Step 9,Machine8,296,300
Job4,Step 10,Machine9,300,305
Job4,Step 11,Machine14,305,310
Job4,Step 12,Machine12,310,320
Job4,Step 13,Machine10,320,327
Job4,Step 14,Machine11,327,335
Job4,Step 15,Machine7,335,343
Job5,Step 1,Machine0,343,348
Job5,Step 2,Machine1,349,353
Job5,Step 3,Machine5,354,359
Job5,Step 4,Machine6,360,369
Job5,Step 5,Machine3,370,373
Job5,Step 6,Machine2,373,376
Job5,Step 7,Machine4,377,386
Job5,Step 8,Machine14,386,388
Job5,Step 9,Machine10,389,399
Job5,Step 10,Machine8,400,402
Job5,Step 11,Machine13,403,411
Job5,Step 12,Machine9,411,420
Job5,Step 13,Machine12,422,429
Job5,Step 14,Machine11,429,436
Job5,Step 15,Machine7,436,443
Job6,Step 1,Machine0,443,449
Job6,Step 2,Machine6,450,454
Job6,Step 3,Machine2,454,459
Job6,Step 4,Machine3,459,468
Job6,Step 5,Machine1,470,478
Job6,Step 6,Machine4,478,484
Job6,Step 7,Machine5,484,494
Job6,Step 8,Machine12,494,503
Job6,Step 9,Machine14,504,511
Job6,Step 10,Machine11,511,515
Job6,Step 11,Machine8,516,525
Job6,Step 12,Machine10,525,535
Job6,Step 13,Machine13,535,536
Job6,Step 14,Machine9,536,539
Job6,Step 15,Machine7,540,547
Job7,Step 1,Machine0,547,556
Job7,Step 2,Machine4,557,565
Job7,Step 3,Machine6,565,566
Job7,Step 4,Machine1,566,571
Job7,Step 5,Machine2,572,581
Job7,Step 6,Machine3,582,591
Job7,Step 7,Machine5,592,602
Job7,Step 8,Machine14,603,611
Job7,Step 9,Machine9,611,618
Job7,Step 10,Machine11,618,623
Job7,Step 11,Machine12,624,633
Job7,Step 12,Machine13,634,641
Job7,Step 13,Machine8,641,648
Job7,Step 14,Machine7,648,656
Job7,Step 15,Machine10,656,664
Job8,Step 1,Machine0,664,669
Job8,Step 2,Machine2,670,679
Job8,Step 3,Machine6,679,681
Job8,Step 4,Machine3,681,687
Job8,Step 5,Machine4,688,696
Job8,Step 6,Machine1,696,699
Job8,Step 7,Machine5,699,706
Job8,Step 8,Machine11,706,712
Job8,Step 9,Machine7,713,723
Job8,Step 10,Machine12,723,727
Job8,Step 11,Machine13,727,734
Job8,Step 12,Machine10,734,735
Job8,Step 13,Machine14,736,741
Job8,Step 14,Machine8,742,752
Job8,Step 15,Machine9,753,759
Job9,Step 1,Machine6,759,766
Job9,Step 2,Machine5,767,773
Job9,Step 3,Machine2,774,778
Job9,Step 4,Machine0,778,782
Job9,Step 5,Machine3,782,792
Job9,Step 6,Machine1,792,798
Job9,Step 7,Machine4,799,806
Job9,Step 8,Machine13,807,813
Job9,Step 9,Machine14,814,817
Job9,Step 10,Machine12,818,825
Job9,Step 11,Machine8,825,828
Job9,Step 12,Machine9,829,839
Job9,Step 13,Machine7,839,847
Job9,Step 14,Machine10,847,848
Job9,Step 15,Machine11,848,854
Job10,Step 1,Machine6,854,858
Job10,Step 2,Machine4,858,863
Job10,Step 3,Machine1,863,868
Job10,Step 4,Machine5,870,879
Job10,Step 5,Machine3,879,882
Job10,Step 6,Machine2,884,894
Job10,Step 7,Machine0,894,894
Job10,Step 8,Machine14,894,901
Job10,Step 9,Machine11,901,906
Job10,Step 10,Machine13,906,915
Job10,Step 11,Machine9,915,915
Job10,Step 12,Machine8,915,919
Job10,Step 13,Machine10,919,921
Job10,Step 14,Machine12,921,925
Job10,Step 15,Machine7,926,931
Job11,Step 1,Machine1,931,936
Job11,Step 2,Machine0,936,940
Job11,Step 3,Machine5,940,945
Job11,Step 4,Machine6,946,956
Job11,Step 5,Machine3,956,966
Job11,Step 6,Machine4,966,969
Job11,Step 7,Machine2,969,972
Job11,Step 8,Machine14,972,977
Job11,Step 9,Machine7,977,983
Job11,Step 10,Machine12,983,993
Job11,Step 11,Machine8,995,1003
Job11,Step 12,Machine9,1004,1012
Job11,Step 13,Machine10,1012,1017
Job11,Step 14,Machine13,1018,1024
Job11,Step 15,Machine11,1024,1034
Job12,Step 1,Machine2,1034,1034
Job12,Step 2,Machine5,1036,1046
Job12,Step 3,Machine0,1046,1054
Job12,Step 4,Machine4,1055,1064
Job12,Step 5,Machine6,1064,1065
Job12,Step 6,Machine1,1065,1067
Job12,Step 7,Machine3,1068,1075
Job12,Step 8,Machine14,1075,1081
Job12,Step 9,Machine11,1081,1082
Job12,Step 10,Machine12,1083,1093
Job12,Step 11,Machine9,1093,1097
Job12,Step 12,Machine8,1097,1100
Job12,Step 13,Machine13,1101,1110
Job12,Step 14,Machine10,1110,1111
Job12,Step 15,Machine7,1112,1120
Job13,Step 1,Machine1,1120,1126
Job13,Step 2,Machine0,1127,1136
Job13,Step 3,Machine2,1137,1143
Job13,Step 4,Machine6,1144,1152
Job13,Step 5,Machine5,1152,1156
Job13,Step 6,Machine3,1157,1166
Job13,Step 7,Machine4,1168,1176
Job13,Step 8,Machine7,1177,1184
Job13,Step 9,Machine9,1184,1186
Job13,Step 10,Machine11,1187,1191
Job13,Step 11,Machine10,1191,1192
Job13,Step 12,Machine8,1193,1198
Job13,Step 13,Machine13,1200,1210
Job13,Step 14,Machine14,1212,1218
Job13,Step 15,Machine12,1219,1224
Job14,Step 1,Machine5,1224,1228
Job14,Step 2,Machine3,1229,1232
Job14,Step 3,Machine0,1233,1239
Job14,Step 4,Machine6,1240,1247
Job14,Step 5,Machine1,1247,1253
Job14,Step 6,Machine2,1254,1257
Job14,Step 7,Machine4,1257,1257
Job14,Step 8,Machine7,1258,1264
Job14,Step 9,Machine13,1264,1273
Job14,Step 10,Machine9,1273,1274
Job14,Step 11,Machine12,1275,1284
Job14,Step 12,Machine14,1285,1289
Job14,Step 13,Machine10,1289,1299
Job14,Step 14,Machine8,1300,1309
Job14,Step 15,Machine11,1309,1313
Job15,Step 1,Machine6,1313,1318
Job15,Step 2,Machine4,1318,1324
Job15,Step 3,Machine1,1324,1329
Job15,Step 4,Machine2,1329,1330
Job15,Step 5,Machine0,1330,1331
Job15,Step 6,Machine5,1332,1334
Job15,Step 7,Machine3,1334,1337
Job15,Step 8,Machine10,1338,1342
Job15,Step 9,Machine13,1343,1347
Job15,Step 10,Machine9,1348,1355
Job15,Step 11,Machine11,1355,1357
Job15,Step 12,Machine8,1357,1357
Job15,Step 13,Machine7,1358,1360
Job15,Step 14,Machine14,1361,1370
Job15,Step 15,Machine12,1370,1370
Job16,Step 1,Machine6,1370,1377
Job16,Step 2,Machine5,1377,1379
Job16,Step 3,Machine0,1380,1389
Job16,Step 4,Machine3,1389,1390
