job,step,machine,start,end
Job1,Step 1,Machine16,0,2
Job1,Step 2,Machine17,2,5
Job1,Step 3,Machine0,5,7
Job1,Step 4,Machine6,7,8
Job1,Step 5,Machine15,9,12
Job1,Step 6,Machine8,12,13
Job1,Step 7,Machine7,13,16
Job1,Step 8,Machine18,16,17
Job1,Step 9,Machine10,17,19
Job1,Step 10,Machine11,19,21
Job1,Step 11,Machine1,21,23
Job1,Step 12,Machine19,23,25
Job1,Step 13,Machine14,25,28
Job1,Step 14,Machine13,28,30
Job1,Step 15,Machine4,30,33
Job1,Step 16,Machine9,33,36
Job1,Step 17,Machine3,36,37
Job1,Step 18,Machine12,37,38
Job1,Step 19,Machine5,38,40
Job1,Step 20,Machine2,40,41
Job2,Step 1,Machine5,41,44
Job2,Step 2,Machine11,44,47
Job2,Step 3,Machine6,47,48
Job2,Step 4,Machine16,48,51
Job2,Step 5,Machine0,51,54
Job2,Step 6,Machine14,54,57
Job2,Step 7,Machine3,57,60
Job2,Step 8,Machine1,60,62
Job2,Step 9,Machine13,62,64
Job2,Step 10,Machine4,64,67
Job2,Step 11,Machine7,67,68
Job2,Step 12,Machine17,68,71
Job2,Step 13,Machine9,71,72
Job2,Step 14,Machine2,72,74
Job2,Step 15,Machine10,74,77
Job2,Step 16,Machine12,77,80
Job2,Step 17,Machine18,80,82
Job2,Step 18,Machine8,82,84
Job2,Step 19,Machine15,84,87
Job2,Step 20,Machine19,87,90
Job3,Step 1,Machine17,90,92
Job3,Step 2,Machine1,92,93
Job3,Step 3,Machine16,93,94
Job3,Step 4,Machine7,94,97
Job3,Step 5,Machine13,98,100
Job3,Step 6,Machine15,100,102
Job3,Step 7,Machine0,102,103
Job3,Step 8,Machine6,104,106
Job3,Step 9,Machine19,106,109
Job3,Step 10,Machine12,109,112
Job3,Step 11,Machine9,113,115
Job3,Step 12,Machine14,115,117
Job3,Step 13,Machine8,117,118
Job3,Step 14,Machine10,118,121
Job3,Step 15,Machine2,121,124
Job3,Step 16,Machine3,125,128
Job3,Step 17,Machine18,128,129
Job3,Step 18,Machine11,130,132
Job3,Step 19,Machine4,132,135
Job3,Step 20,Machine5,135,137
Job4,Step 1,Machine5,137,141
Job4,Step 2,Machine7,141,145
Job4,Step 3,Machine16,145,149
Job4,Step 4,Machine10,149,153
Job4,Step 5,Machine14,153,154
Job4,Step 6,Machine8,154,156
Job4,Step 7,Machine0,156,159
Job4,Step 8,Machine3,159,161
Job4,Step 9,Machine12,161,164
Job4,Step 10,Machine18,164,165
Job4,Step 11,Machine2,165,168
Job4,Step 12,Machine13,169,170
Job4,Step 13,Machine11,170,171
Job4,Step 14,Machine1,171,175
Job4,Step 15,Machine17,175,176
Job4,Step 16,Machine15,176,178
Job4,Step 17,Machine4,178,179
Job4,Step 18,Machine6,179,181
Job4,Step 19,Machine9,181,184
Job4,Step 20,Machine19,185,188
Job5,Step 1,Machine12,188,191
Job5,Step 2,Machine3,191,193
Job5,Step 3,Machine9,193,197
Job5,Step 4,Machine16,197,200
Job5,Step 5,Machine14,200,203
Job5,Step 6,Machine6,204,207
Job5,Step 7,Machine8,207,209
Job5,Step 8,Machine15,209,210
Job5,Step 9,Machine13,210,211
Job5,Step 10,Machine5,211,212
Job5,Step 11,Machine11,212,214
Job5,Step 12,Machine1,214,217
Job5,Step 13,Machine19,217,218
Job5,Step 14,Machine10,218,220
Job5,Step 15,Machine7,220,223
Job5,Step 16,Machine2,224,227
Job5,Step 17,Machine17,227,230
Job5,Step 18,Machine4,230,231
Job5,Step 19,Machine0,231,233
Job5,Step 20,Machine18,233,234
Job6,Step 1,Machine18,234,235
Job6,Step 2,Machine16,235,237
Job6,Step 3,Machine1,237,238
Job6,Step 4,Machine12,238,239
Job6,Step 5,Machine13,239,240
Job6,Step 6,Machine6,240,241
Job6,Step 7,Machine5,241,243
Job6,Step 8,Machine4,243,245
Job6,Step 9,Machine0,245,246
Job6,Step 10,Machine11,246,248
Job6,Step 11,Machine15,248,251
Job6,Step 12,Machine19,251,252
Job6,Step 13,Machine3,252,254
Job6,Step 14,Machine14,254,257
Job6,Step 15,Machine9,257,261
Job6,Step 16,Machine8,261,262
Job6,Step 17,Machine2,262,264
Job6,Step 18,Machine10,264,265
Job6,Step 19,Machine7,266,269
Job6,Step 20,Machine17,269,272
Job7,Step 1,Machine0,272,274
Job7,Step 2,Machine12,274,275
Job7,Step 3,Machine4,275,277
Job7,Step 4,Machine13,277,278
Job7,Step 5,Machine17,278,279
Job7,Step 6,Machine5,280,283
Job7,Step 7,Machine7,283,284
Job7,Step 8,Machine18,285,287
