job,step,machine,start,end
Job1,Step 1,Machine0,0,1
Job1,Step 2,Machine9,2,4
Job1,Step 3,Machine2,4,7
Job1,Step 4,Machine13,7,9
Job1,Step 5,Machine10,9,12
Job1,Step 6,Machine8,12,15
Job1,Step 7,Machine6,15,17
Job1,Step 8,Machine4,18,21
Job1,Step 9,Machine11,21,25
Job1,Step 10,Machine12,25,28
Job1,Step 11,Machine1,28,30
Job1,Step 12,Machine14,30,33
Job1,Step 13,Machine3,33,36
Job1,Step 14,Machine5,36,38
Job1,Step 15,Machine7,38,39
Job2,Step 1,Machine9,39,40
Job2,Step 2,Machine10,40,42
Job2,Step 3,Machine14,42,44
Job2,Step 4,Machine5,44,45
Job2,Step 5,Machine4,45,47
Job2,Step 6,Machine6,48,51
Job2,Step 7,Machine0,51,53
Job2,Step 8,Machine7,54,57
Job2,Step 9,Machine13,57,58
Job2,Step 10,Machine11,58,60
Job2,Step 11,Machine1,60,62
Job2,Step 12,Machine3,62,64
Job2,Step 13,Machine2,64,67
Job2,Step 14,Machine12,68,69
Job2,Step 15,Machine8,69,71
Job3,Step 1,Machine3,71,74
Job3,Step 2,Machine8,74,75
Job3,Step 3,Machine11,75,77
Job3,Step 4,Machine13,77,81
Job3,Step 5,Machine10,81,83
Job3,Step 6,Machine14,83,85
Job3,Step 7,Machine5,85,88
Job3,Step 8,Machine9,88,90
Job3,Step 9,Machine0,90,92
Job3,Step 10,Machine1,92,96
Job3,Step 11,Machine4,96,97
Job3,Step 12,Machine2,97,100
Job3,Step 13,Machine7,100,103
Job3,Step 14,Machine6,103,105
Job3,Step 15,Machine12,105,108
Job4,Step 1,Machine14,108,110
Job4,Step 2,Machine3,110,113
Job4,Step 3,Machine2,113,116
Job4,Step 4,Machine12,116,117
Job4,Step 5,Machine4,117,120
Job4,Step 6,Machine13,120,121
Job4,Step 7,Machine1,121,122
Job4,Step 8,Machine6,122,124
Job4,Step 9,Machine9,124,125
Job4,Step 10,Machine7,125,127
Job4,Step 11,Machine10,127,129
Job4,Step 12,Machine0,129,133
Job4,Step 13,Machine5,133,136
Job4,Step 14,Machine8,136,138
Job4,Step 15,Machine11,139,142
Job5,Step 1,Machine12,142,144
Job5,Step 2,Machine14,145,146
Job5,Step 3,Machine1,146,149
Job5,Step 4,Machine7,149,150
Job5,Step 5,Machine8,150,153
Job5,Step 6,Machine11,153,155
Job5,Step 7,Machine6,155,157
Job5,Step 8,Machine4,157,159
Job5,Step 9,Machine0,159,162
Job5,Step 10,Machine2,162,165
Job5,Step 11,Machine3,165,169
Job5,Step 12,Machine10,169,171
Job5,Step 13,Machine5,171,172
Job5,Step 14,Machine13,173,176
Job5,Step 15,Machine9,176,177
Job6,Step 1,Machine10,177,179
Job6,Step 2,Machine12,179,182
Job6,Step 3,Machine8,182,183
Job6,Step 4,Machine14,183,186
Job6,Step 5,Machine9,186,187
Job6,Step 6,Machine6,187,189
Job6,Step 7,Machine5,189,190
Job6,Step 8,Machine4,190,191
Job6,Step 9,Machine2,191,193
Job6,Step 10,Machine11,193,196
Job6,Step 11,Machine7,196,198
Job6,Step 12,Machine3,198,201
Job6,Step 13,Machine13,201,202
Job6,Step 14,Machine0,203,204
Job6,Step 15,Machine1,204,207
Job7,Step 1,Machine6,207,210
Job7,Step 2,Machine8,210,213
Job7,Step 3,Machine0,213,214
Job7,Step 4,Machine12,214,217
Job7,Step 5,Machine10,217,218
Job7,Step 6,Machine9,219,221
Job7,Step 7,Machine2,221,224
Job7,Step 8,Machine4,224,227
Job7,Step 9,Machine3,227,228
Job7,Step 10,Machine13,228,230
Job7,Step 11,Machine14,230,232
Job7,Step 12,Machine11,232,234
Job7,Step 13,Machine5,234,235
Job7,Step 14,Machine7,236,239
Job7,Step 15,Machine1,239,241
Job8,Step 1,Machine11,241,242
Job8,Step 2,Machine13,242,244
Job8,Step 3,Machine10,244,247
Job8,Step 4,Machine8,248,249
Job8,Step 5,Machine9,249,250
Job8,Step 6,Machine14,251,252
Job8,Step 7,Machine5,252,254
Job8,Step 8,Machine0,254,257
Job8,Step 9,Machine2,257,259
Job8,Step 10,Machine6,259,262
Job8,Step 11,Machine12,262,264
Job8,Step 12,Machine1,264,265
Job8,Step 13,Machine3,265,267
Job8,Step 14,Machine4,267,270
Job8,Step 15,Machine7,270,272
Job9,Step 1,Machine8,272,274
Job9,Step 2,Machine6,274,276
Job9,Step 3,Machine5,276,278
