job,step,machine,start,end,precedence
Job1,1,Machine8,0,31,
Job1,2,Machine10,31,37,After Job1 Step 1
Job1,3,Machine3,37,54,After Job1 Step 2
Job1,4,Machine2,54,61,After Job1 Step 3
Job1,5,Machine4,61,79,After Job1 Step 4
Job1,6,Machine0,79,91,After Job1 Step 5
Job1,7,Machine12,91,103,After Job1 Step 6
Job1,8,Machine7,103,119,After Job1 Step 7
Job1,9,Machine11,119,127,After Job1 Step 8
Job1,10,Machine13,127,139,After Job1 Step 9
Job1,11,Machine5,139,171,After Job1 Step 10
Job1,12,Machine1,171,194,After Job1 Step 11
Job1,13,Machine9,194,208,After Job1 Step 12
Job1,14,Machine6,208,234,After Job1 Step 13
Job1,15,Machine14,234,241,After Job1 Step 14
Job10,1,Machine5,1796,1798,
Job10,2,Machine3,1798,1807,After Job10 Step 1
Job10,3,Machine12,1838,1867,After Job10 Step 2
Job10,4,Machine6,1867,1890,After Job10 Step 3
Job10,5,Machine14,1890,1893,After Job10 Step 4
Job10,6,Machine7,1893,1903,After Job10 Step 5
Job10,7,Machine1,1905,1927,After Job10 Step 6
Job10,8,Machine0,1927,1931,After Job10 Step 7
Job10,9,Machine8,1931,1934,After Job10 Step 8
Job10,10,Machine13,1934,1953,After Job10 Step 9
Job10,11,Machine4,1953,1978,After Job10 Step 10
Job10,12,Machine10,1978,1994,After Job10 Step 11
Job10,13,Machine2,1994,2008,After Job10 Step 12
Job10,14,Machine9,2008,2037,After Job10 Step 13
Job10,15,Machine11,2037,2047,After Job10 Step 14
Job11,1,Machine3,1807,1839,
Job11,2,Machine12,1867,1870,After Job11 Step 1
Job11,3,Machine7,1903,1914,After Job11 Step 2
Job11,4,Machine9,2037,2052,After Job11 Step 3
Job11,5,Machine6,2052,2084,After Job11 Step 4
Job11,6,Machine11,2084,2090,After Job11 Step 5
Job11,7,Machine1,2090,2098,After Job11 Step 6
Job11,8,Machine5,2098,2102,After Job11 Step 7
Job11,9,Machine14,2102,2108,After Job11 Step 8
Job11,10,Machine13,2108,2131,After Job11 Step 9
Job11,11,Machine8,2131,2131,After Job11 Step 10
Job11,12,Machine10,2131,2151,After Job11 Step 11
Job11,13,Machine4,2151,2167,After Job11 Step 12
Job11,14,Machine0,2167,2180,After Job11 Step 13
Job11,15,Machine2,2180,2193,After Job11 Step 14
Job12,1,Machine12,1870,1885,
Job12,2,Machine10,2151,2184,After Job12 Step 1
Job12,3,Machine0,2184,2193,After Job12 Step 2
Job12,4,Machine14,2193,2221,After Job12 Step 3
Job12,5,Machine9,2221,2253,After Job12 Step 4
Job12,6,Machine11,2253,2270,After Job12 Step 5
Job12,7,Machine5,2270,2280,After Job12 Step 6
Job12,8,Machine3,2280,2289,After Job12 Step 7
Job12,9,Machine13,2289,2309,After Job12 Step 8
Job12,10,Machine7,2309,2337,After Job12 Step 9
Job12,11,Machine1,2337,2345,After Job12 Step 10
Job12,12,Machine8,2345,2350,After Job12 Step 11
Job12,13,Machine6,2350,2360,After Job12 Step 12
Job12,14,Machine2,2360,2377,After Job12 Step 13
Job12,15,Machine4,2377,2379,After Job12 Step 14
Job13,1,Machine8,2350,2353,
Job13,2,Machine7,2353,2384,After Job13 Step 1
Job13,3,Machine5,2384,2411,After Job13 Step 2
Job13,4,Machine2,2411,2419,After Job13 Step 3
Job13,5,Machine1,2419,2425,After Job13 Step 4
Job13,6,Machine9,2425,2442,After Job13 Step 5
Job13,7,Machine4,2442,2458,After Job13 Step 6
Job13,8,Machine13,2458,2466,After Job13 Step 7
Job13,9,Machine12,2466,2482,After Job13 Step 8
Job13,10,Machine10,2482,2499,After Job13 Step 9
Job13,11,Machine3,2499,2529,After Job13 Step 10
Job13,12,Machine14,2529,2561,After Job13 Step 11
Job13,13,Machine0,2561,2579,After Job13 Step 12
Job13,14,Machine6,2579,2588,After Job13 Step 13
Job13,15,Machine11,2588,2599,After Job13 Step 14
Job14,1,Machine3,2529,2556,
Job14,2,Machine10,2556,2563,After Job14 Step 1
Job14,3,Machine13,2563,2585,After Job14 Step 2
Job14,4,Machine9,2585,2600,After Job14 Step 3
Job14,5,Machine2,2600,2619,After Job14 Step 4
Job14,6,Machine6,2619,2635,After Job14 Step 5
Job14,7,Machine4,2635,2641,After Job14 Step 6
Job14,8,Machine14,2641,2654,After Job14 Step 7
Job14,9,Machine12,2654,2672,After Job14 Step 8
Job14,10,Machine8,2672,2686,After Job14 Step 9
Job14,11,Machine0,2686,2692,After Job14 Step 10
Job14,12,Machine5,2692,2713,After Job14 Step 11
Job14,13,Machine11,2713,2742,After Job14 Step 12
Job14,14,Machine7,2742,2773,After Job14 Step 13
Job14,15,Machine1,2773,2802,After Job14 Step 14
Job15,1,Machine7,2773,2795,
Job15,2,Machine6,2795,2815,After Job15 Step 1
Job15,3,Machine2,2815,2828,After Job15 Step 2
Job15,4,Machine13,2828,2851,After Job15 Step 3
Job15,5,Machine10,2851,2883,After Job15 Step 4
Job15,6,Machine11,2883,2912,After Job15 Step 5
Job15,7,Machine8,2912,2941,After Job15 Step 6
Job15,8,Machine5,2941,2969,After Job15 Step 7
Job15,9,Machine3,2969,2998,After Job15 Step 8
Job15,10,Machine0,2998,3025,After Job15 Step 9
Job15,11,Machine12,3025,3029,After Job15 Step 10
Job15,12,Machine1,3029,3054,After Job15 Step 11
